ir_data,red_data
112935.35,117750.89
113426.47,118325.19
113430.74,118386.03
113407.15,118409.45
113375.69,118416.63
113338.9,118411.58
113300.45,118404.05
113266.66,118400.65
113587.19,118852.92
114622.01,119983.78
115780.07,121227.31
116970.67,122500.06
118129.42,123746.88
119267.31,124978.07
120384.04,126194.34
121448.55,127366.65
122556.76,128573.19
123735.47,129834.24
124965.88,131137.87
126215.98,132460.09
127469.47,133785.57
128715.29,135105.44
129949.41,136415.49
131125.26,137677.63
131931.05,138587.99
132112.02,138841.76
132133.92,138936.76
132143.92,139004.68
132147.93,139059.63
132146.51,139105.38
132138.28,139138.26
132126.12,139161.37
132110.08,139179.22
132092.9,139192.03
132072.92,139200.34
132049.69,139203.26
132023.25,139197.57
131997.09,139189.88
131971.09,139183.74
131943.37,139175.65
131912.47,139160.38
131876.95,139137.08
131836.3,139102.4
131789.8,139056.31
131739.51,139001.43
131687.57,138944.25
131635.33,138885.02
131582.24,138824.39
131529.03,138762.46
131475.0,138699.86
131421.0,138635.11
131370.7,138576.55
131326.74,138531.69
131283.57,138488.97
131238.43,138442.51
131191.23,138391.25
131143.05,138338.16
131094.4,138284.99
131042.62,138227.54
130986.43,138162.84
130928.52,138095.09
130870.32,138025.74
130813.84,137957.85
130759.4,137892.28
130705.69,137828.06
130657.11,137772.08
130613.86,137728.68
130569.06,137683.82
130521.7,137632.65
130472.14,137577.53
130422.15,137521.24
130373.86,137468.55
130327.12,137419.62
130280.83,137371.81
130230.77,137315.69
130176.23,137249.27
130120.87,137180.65
130066.93,137116.61
130020.25,137066.04
129977.73,137026.4
129935.12,136986.36
129890.05,136938.97
129842.06,136884.85
129791.92,136827.31
129739.6,136769.3
129686.15,136712.0
129635.24,136656.46
129585.61,136601.25
129535.72,136544.54
129486.46,136487.9
129438.57,136432.8
129394.93,136382.54
129356.85,136340.27
129324.05,136301.54
129295.94,136264.47
129271.85,136228.46
129251.47,136194.87
129232.72,136163.68
129214.42,136134.31
129193.82,136104.26
129170.25,136070.28
129143.03,136030.24
129113.8,135988.28
129090.21,135951.74
129080.73,135937.79
129081.09,135941.99
129085.23,135952.35
129088.61,135962.38
129086.72,135961.91
129079.91,135949.15
129073.2,135936.58
129068.06,135927.91
129063.04,135920.2
129057.47,135911.14
129051.12,135899.59
129042.94,135884.08
129036.88,135872.3
129037.38,135872.77
129041.39,135880.72
129046.91,135892.35
129051.66,135906.42
129053.84,135919.81
129051.48,135930.5
129048.49,135944.11
129047.32,135963.48
129051.75,135989.49
129053.78,136009.49
129049.32,136013.87
129042.43,136014.59
129037.08,136020.37
129036.04,136036.53
129037.2,136058.59
129037.55,136079.49
129037.05,136096.75
129037.98,136114.2
129041.69,136134.93
129048.59,136161.46
129058.74,136193.95
129071.74,136229.67
129085.03,136265.62
129096.49,136299.26
129106.46,136330.38
129115.85,136360.14
129125.01,136388.66
129130.45,136409.62
129133.84,136425.16
129137.68,136442.23
129143.41,136462.78
129150.74,136486.86
129159.27,136512.46
129166.98,136536.28
129173.11,136558.07
129179.54,136579.52
129187.25,136603.62
129196.8,136630.82
129208.06,136660.75
129219.11,136689.58
129229.49,136718.09
129242.22,136751.19
129257.17,136790.21
129267.28,136818.64
129271.92,136835.31
129276.38,136851.69
129283.04,136873.55
129292.12,136901.44
129302.85,136933.7
129313.55,136965.45
129321.21,136991.64
129326.16,137012.12
129330.27,137031.1
129334.31,137049.72
129337.89,137068.72
129341.95,137087.56
129345.43,137105.56
129352.13,137130.58
129361.81,137162.43
129366.28,137180.7
129367.78,137191.06
129369.07,137200.73
129371.49,137212.57
129375.53,137228.4
129382.31,137250.35
129389.75,137272.79
129399.39,137296.27
129414.45,137325.17
129436.23,137363.02
129457.8,137403.61
129477.02,137444.11
129494.78,137483.64
129510.26,137520.02
129522.12,137551.52
129526.82,137570.86
129527.12,137581.35
129525.2,137590.76
129521.66,137599.98
129517.09,137609.24
129510.62,137617.39
129503.7,137624.22
129497.76,137630.64
129495.58,137640.11
129498.26,137654.05
129505.46,137673.93
129515.06,137697.64
129521.94,137719.92
129521.79,137733.71
129509.29,137725.39
129488.85,137702.59
129467.8,137677.76
129453.54,137665.55
129445.77,137669.21
129441.03,137678.33
129435.93,137686.28
129430.42,137690.52
129424.72,137693.57
129419.7,137697.73
129416.23,137706.38
129414.88,137719.93
129414.79,137737.63
129413.11,137752.33
129403.28,137748.26
129390.38,137734.98
129378.73,137720.0
129370.7,137708.04
129363.71,137697.94
129354.88,137684.9
129338.67,137662.63
129322.91,137641.59
129311.66,137633.32
129302.58,137628.84
129294.21,137624.11
129286.45,137618.88
129278.62,137613.11
129268.13,137601.1
129254.53,137583.11
129238.9,137562.21
129222.07,137539.67
129203.98,137515.75
129183.84,137488.92
129160.78,137458.31
129136.05,137423.49
129111.4,137388.09
129087.82,137353.88
129065.15,137322.3
